Date,Title,Year over year
2019-08-01 00:00:00,Real gross domestic product (chained (2012) dollars),1.6%
2019-09-01 00:00:00,Real gross domestic product (chained (2012) dollars),1.7%
2019-10-01 00:00:00,Real gross domestic product (chained (2012) dollars),1.4%
2019-11-01 00:00:00,Real gross domestic product (chained (2012) dollars),1.7%
2019-12-01 00:00:00,Real gross domestic product (chained (2012) dollars),2.0%
2020-01-01 00:00:00,Real gross domestic product (chained (2012) dollars),1.9%
2020-02-01 00:00:00,Real gross domestic product (chained (2012) dollars),2.4%
2020-03-01 00:00:00,Real gross domestic product (chained (2012) dollars),-5.9%
2020-04-01 00:00:00,Real gross domestic product (chained (2012) dollars),-16.7%
2020-05-01 00:00:00,Real gross domestic product (chained (2012) dollars),-13.1%
2020-06-01 00:00:00,Real gross domestic product (chained (2012) dollars),-8.2%
2020-07-01 00:00:00,Real gross domestic product (chained (2012) dollars),-5.7%
2020-08-01 00:00:00,Real gross domestic product (chained (2012) dollars),-4.6%
2020-09-01 00:00:00,Real gross domestic product (chained (2012) dollars),-4.0%
2020-10-01 00:00:00,Real gross domestic product (chained (2012) dollars),-3.4%
2020-11-01 00:00:00,Real gross domestic product (chained (2012) dollars),-2.8%
2020-12-01 00:00:00,Real gross domestic product (chained (2012) dollars),-3.0%
2021-01-01 00:00:00,Real gross domestic product (chained (2012) dollars),-2.3%
2021-02-01 00:00:00,Real gross domestic product (chained (2012) dollars),-2.4%
2021-03-01 00:00:00,Real gross domestic product (chained (2012) dollars),6.9%
2021-04-01 00:00:00,Real gross domestic product (chained (2012) dollars),19.2%
2021-05-01 00:00:00,Real gross domestic product (chained (2012) dollars),13.4%
2021-06-01 00:00:00,Real gross domestic product (chained (2012) dollars),7.8%
2021-07-01 00:00:00,Real gross domestic product (chained (2012) dollars),4.8%
2021-08-01 00:00:00,Real gross domestic product (chained (2012) dollars),4.1%
